pdp_url,product_id,product_name,brand,currency,selling_price,regular_price,promotion_description,review,rating,image,product_description,size,material_care,availability
https://www.very.co.uk/v-by-very-boys-2-pack-combat-school-shorts-grey/1600406936.prd,1600406936,Boys 2 Pack Combat School Shorts - Grey,V by Very,GBP,15,15,Save up to £2,15,4.7,https://media.very.co.uk/i/very/PK9CJ_SQ1_0000000005_GREY_ASf?$pdp_300x400_x2$&fmt=jpg,"Supplied in a great value 2 pack,  fabric to help themÂ stay dry, helps freeÂ spillsÂ in the wash, Finished with distinctive side pocket details and a simple zip and button fastening, An ,  keeps them fresh all day longÂ , Belt loops, Please note: ages 3-5 years has a mock fly; 5-12 features button and zip fastening","['3-4 YEARS', '4-5 YEARS', '5-6 YEARS', '6-7 YEARS', '7-8 YEARS', '8-9 YEARS', '9-10 YEARS', '10-11 YEARS', '11-12 YEARS']","['Material Content: 65% Poly, 35% Viscose', 'Washing Instructions: Machine Washable']",True
https://www.very.co.uk/everyday-boys-single-jog-shorts-navy/1601040361.prd,1601040361,Boys Single Jog Shorts - Navy,Everyday,GBP,6,,,2,4.5,https://media.very.co.uk/i/very/W4VOF_SQ1_0000000048_NAVY_SLf?$pdp_300x400_x2$&fmt=jpg,"Boys Single Jog Shorts by Everyday, Navy, Plain, Elasticated waist with drawstringÂ ","['3 YEARS', '4 YEARS', '5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '9 YEARS', '10 YEARS', '11 YEARS', '12 YEARS', '13 YEARS', '14 YEARS', '15 YEARS', '16 YEARS']",,True
https://www.very.co.uk/the-north-face-teen-short-sleeve-simple-dome-tee-green/1601088532.prd,1601088532,Teen Short Sleeve Simple Dome Tee - Green,THE NORTH FACE,GBP,18,,,,,https://media.very.co.uk/i/very/WAMFZ_SQ1_0000000047_GREEN_SLf?$pdp_300x400_x2$&fmt=jpg,"Teen Short Sleeve Simple Dome Tee by The North Face, Green, Crew neck collar, Short sleeves, Printed logo to chest, Printed logo to back, Branded tab to back hem","['XS=6-7 YEARS', 'S=8-9 YEARS', 'L=12-13 YEARS', 'XL=14-15 YEARS', 'M=10-11 YEARS', 'XXL=16 YEARS']","['Material Content: 60% Cotton, 40% Polyester', 'Washing Instructions: Machine Washable']",False
https://www.very.co.uk/nike-infants-boys-powder-play-crew-tracksuit-black/1601078260.prd,1601078260,Infants Boys Powder Play Crew Tracksuit - Black,Nike,GBP,25,36,Save £11,18,4.8,https://media.very.co.uk/i/very/W9F9F_SQ1_0000000004_BLACK_SLf?$pdp_300x400_x2$&fmt=jpg,,"['12 MONTHS', '18 MONTHS', '24 MONTHS']",,True
https://www.very.co.uk/the-north-face-juniors-short-sleeve-simple-dome-t-shirtnbsp-white/1601028882.prd,1601028882,Juniors Short Sleeve Simple Dome T-Shirt - White,THE NORTH FACE,GBP,22,,,1,1,https://media.very.co.uk/i/very/W2ZRY_SQ1_0000000013_WHITE_SLf?$pdp_300x400_x2$&fmt=jpg,"End use: Lifestyle, Juniors Short Sleeve Simple Dome T-Shirt by The North Face, White, This Simple Dome Tee by The North Face is just that: oh so simply styled and easy to wear, Crafted from a lightweight poly-cotton blend, Classic crew neckline, Short sleeves give them room to move, The North Face branding front and back","['XS', 'S', 'M', 'L', 'XL', '2XL']","['Material Content: Outer 60% Cotton, 40% PolyesterFilling not applicableLiningNot Applicable', 'Washing Instructions: Machine Washable']",True
https://www.very.co.uk/under-armour-boys-football-challanger-tracksuit-navy/1601116176.prd,1601116176,Boys Football Challanger Tracksuit - Navy,UNDER ARMOUR,GBP,40,50,Save £10,6,4.7,https://media.very.co.uk/i/very/WEOVO_SQ1_0000000005_GREY_SLf?$pdp_300x400_x2$&fmt=jpg,"Boys Football Challenger Tracksuit by UNDER ARMOUR, Grey, Sold as a set, Textured knit fabric is light, tough and breathable, Material wicks sweat and dries really fast, Open hand pockets to the jacket, Encased elastic waistband with internal drawcord, Ankle zips for easy on and off even over cleats, Machine wash cold with like colours",[],,True
https://www.very.co.uk/smallsaints-all-saints-logo-t-shirt-white/1601108835.prd,1601108835,All Saints Logo T-Shirt - White,smALLSAINTS,GBP,15,22,Save up to £8,,,https://media.very.co.uk/i/very/WD85N_SQ1_0000000013_WHITE_MDf?$pdp_300x400_x2$&fmt=jpg,"All Saints Logo T-Shirt by smALLSAINTS, White, Logo print front, Short sleeves, Crew neck","['4-5 YEARS', '5-6 YEARS', '6-7 YEARS', '7-8 YEARS', '8-9 YEARS', '9-10 YEARS', '10-11 YEARS', '11-12 YEARS', '12-13 YEARS']","['Material Content: Main: 100% Cotton,Neck: 97% Cotton,3% Elastane']",True
https://www.very.co.uk/adidas-junior-squadra-25-short-black/1601087828.prd,1601087828,Junior Squadra 25 Short - Black,adidas,GBP,13,,,7,4.7,https://media.very.co.uk/i/very/WARPH_SQ1_0000000004_BLACK_MDf?$pdp_300x400_x2$&fmt=jpg,,"['5-6 YEARS', '7-8 YEARS', '9-10 YEARS', '11-12 YEARS', '13-14 YEARS', '15-16 YEARS']",,True
https://www.very.co.uk/everyday-boys-crew-sweatshirt-black/1601040437.prd,1601040437,Boys Crew Sweatshirt - Black,Everyday,GBP,7,9,Save up to £2.50,1,4,https://media.very.co.uk/i/very/W4VIV_SQ1_0000000004_BLACK_ASf?$pdp_300x400_x2$&fmt=jpg,"Boys Crew Sweatshirt by Everyday, Black, Plain, Long sleeve, Crew neckÂ ","['3 YEARS', '4 YEARS', '5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '9 YEARS', '10 YEARS', '11 YEARS', '12 YEARS', '13 YEARS', '14 YEARS', '15 YEARS', '16 YEARS']",,True
https://www.very.co.uk/adidas-youth-entrada-22-training-shorts-white/1600665597.prd,1600665597,Youth Entrada 22 Training Shorts - White,adidas,GBP,10,,,606,4.9,https://media.very.co.uk/i/very/TVQ6Y_SQ1_0000000013_WHITE_SLf?$pdp_300x400_x2$&fmt=jpg,"End use: Training, adidas Youth Entrada 22 Training Shorts, White, Whether you're playing, training or relaxing, throw on these juniors' adidas football training shorts for a clean, classic look. Moisture-absorbing AEROREADY will keep you dry and free from distractions. Side pockets let you stash small essentials.Â , Branding to leg","['5-6 YEARS', '7-8 YEARS', '9-10 YEARS', '11-12 YEARS', '13-14 YEARS', '15-16 YEARS']","['Material Content: 100% Polyester', 'Washing Instructions: Machine Washable']",True
https://www.very.co.uk/ted-baker-top-amp-short-set-grey/1601128814.prd,1601128814,Top & Short Set - Grey,Ted Baker,GBP,28,,,,,https://media.very.co.uk/i/very/WG77L_SQ1_0000000005_GREY_SLf?$pdp_300x400_x2$&fmt=jpg,"Top & Short Set by Ted Baker, Grey, Two piece set, V neck, Popper fastening, Short sleeves, Elasticated waist with drawstring, Side slip pockets, Back pocket, Logo","['12-18 MONTHS', '2-3 YEARS', '3-4 YEARS', '4-5 YEARS', '6 YEARS', '7 YEARS', '8 YEARS', '1.5-2 YEARS']","['Material Content: T-shirt:100% Cotton/ Shorts:100% Cotton', 'Washing Instructions: Machine Washable']",False
