pdp_url,product_name,selling_price,regular_price,rating,review,image,ingredients,warning,specification,promotion_description,product_description
https://www.walmart.com/ip/GREEN-BAY-PACKERS/2577207345,GREEN BAY PACKERS,24.98,,4.6,10,https://i5.walmartimages.com/seo/GREEN-BAY-PACKERS_7023ab84-bdf6-463d-818c-bddb91d241bf.1dea891938d60defb4023a55ce07b492.jpeg,,,"{'Country of Origin - Textiles': 'USA and Imported', 'Brand': 'Fanatics', 'Assembled Product Weight': '0.5 lb', 'Gender': 'Male', 'Color': 'DARK GREEN/YELLOW GOLD'}",,GREEN BAY PACKERS
https://www.walmart.com/ip/10PCS-Hair-Bows-for-Women-Hair-Ribbon-hair-bows-with-Long-Tail-Cute-hair-bow-clips-Hair-Barrettes-for-Women-Accessories/8640364051,"10PCS Hair Bows for Women, Hair Ribbon hair bows with Long Tail,Cute hair bow clips Hair Barrettes for Women Accessories",6.99,,3.8,,https://i5.walmartimages.com/seo/10PCS-Hair-Bows-for-Women-Hair-Ribbon-hair-bows-with-Long-Tail-Cute-hair-bow-clips-Hair-Barrettes-for-Women-Accessories_3bf6b6c2-ab00-4279-9e42-3cf4f9707f62.52979a27a3a12105d173d94e768e0315.jpeg,,,"{'Brand': 'Dalrosia', 'Color': 'A-MIX COLOR-10PCS'}",,"Specifications:Material: Alloy, ClothSize Details:As picture showPackage Includes:10 x  Hair PinsNote:Due to the computer screen resolution or photo shoot light,it may caused the item have a little bit color different.&nbsp;We are so confident in the quality of our product that we offer a satisfaction guarantee! If there is any quality problem, please contact us and we will solve your problem right now."
https://www.walmart.com/ip/Youth-Nike-Joe-Burrow-Orange-Cincinnati-Bengals-Game-Jersey/758794062,Youth Nike Joe Burrow Orange Cincinnati Bengals Game Jersey,99.99,,4.2,,https://i5.walmartimages.com/seo/Youth-Nike-Joe-Burrow-Orange-Cincinnati-Bengals-Game-Jersey_be753c03-0808-4214-8474-596f1b74e00d.ac7ae3d6cdca55303591ff69e4f53431.jpeg,,,"{'Country of Origin - Textiles': 'Imported', 'Assembled Product Weight': '0.4 lb', 'Brand': 'Nike', 'Gender': 'Male', 'Manufacturer': 'OUTERSTUFF HOLDINGS LLC', 'Color': 'Orange'}",,"Help your youngster showcase their admiration for one of the NFL's top players with this Joe Burrow Cincinnati Bengals Alternate Game jersey. Complete with mesh panels for extra breathability, this exclusive Nike jersey replicates the version that Joe Burrow wears every Sunday, giving your young fan the perfect gear for every Cincinnati Bengals game this season."
https://www.walmart.com/ip/Packed-Party-Women-s-Touchdown-Beaded-Bracelet-Set-4-Pieces/15581158653,"Packed Party Women's Touchdown Beaded Bracelet Set, 4 Pieces",7.92,,,,https://i5.walmartimages.com/seo/Packed-Party-Women-s-Touchdown-Beaded-Bracelet-Set-4-Pieces_15286351-6890-4e16-816b-71c8609a5174.8d9e0f0c28eea1ec92fe881a7f48ad44.jpeg,,,"{'Brand': 'Packed Party', 'Gender': 'Female', 'Fine or Fashion': 'Fashion', 'Metal Type': 'Silvertone', 'Manufacturer': 'FAF, Inc.', 'Model': '537853-A0B', 'Material': 'Metal', 'Age Group': 'Adult', 'Assembled Product Dimensions (L x W x H)': '0.75 x 3.75 x 4.75 in'}",,Get ready for game day with the Packed Party Touchdown Beaded Bracelet Set! Cheer on your favorite team with our gold beaded bracelet set complete with extra special football charms. Stretch bracelets with mixed beads and charms are the perfect addition to any outfit.
https://www.walmart.com/ip/Men-s-47-Royal-Los-Angeles-Rams-Imprint-Super-Rival-T-Shirt/251981276,Men's '47 Royal Los Angeles Rams Imprint Super Rival T-Shirt,17.99,,5.0,2,https://i5.walmartimages.com/seo/Men-s-47-Royal-Los-Angeles-Rams-Imprint-Super-Rival-T-Shirt_0c9f580d-5aa5-4edf-869f-a5fc56bd2532.ed608054d62b6176bfe591e168f5e727.jpeg,,,"{'Sleeve Length Style': 'Short Sleeve', 'Fabric Content': '100% Cotton', 'Pattern': 'Solid Print', 'Gender': 'Male', 'Clothing Neck Style': 'Crew Neck', 'Sports League': 'NFL', 'Sports Team': 'Los Angeles Rams', 'Brand': '’47', 'Color': 'Royal'}",,"The Men's '47 Royal Los Angeles Rams Imprint Super Rival T-shirt is the perfect way to show unwavering support for the Los Angeles Rams. Crafted from soft, durable cotton, this T-shirt proudly displays bold graphics featuring the Rams logo. Whether cheering from the stands or showcasing team spirit, this T-shirt is a must-have for any Rams fan."
https://www.walmart.com/ip/Classic-Vintage-Aviator-Sunglasses-for-Women-Men-Large-Frame-Retro-70s-Sunglasses/9118550289,Classic Vintage Aviator Sunglasses for Women Men Large Frame Retro 70s Sunglasses,8.10,,3.9,,https://i5.walmartimages.com/seo/Classic-Vintage-Aviator-Sunglasses-for-Women-Men-Large-Frame-Retro-70s-Sunglasses_73012ae5-82a3-455b-83a9-d06e47ae072b.6d2c78ebb5b5e372bdf42b9b32774872.jpeg,,"We offers 30 days after-sales service and guarantees that returns for items within 37 days of receipt of shipment is allowed as long as the item is in the same condition as it was shipped. Any questions, please feel free to contact our customer service, we will attach great importance to solving each problem you encountered and devote to providing good purchasing experiences.Happy shopping！","{'Brand': 'yuxinzi', 'Color': 'Pp', 'Gender': 'Female'}",,"Welcome to yuxinziCarefully recommended for you!Manicure is not just a simple decoration, it can add confidence and charm to people, showing different temperament and elegance. In social occasions, well-designed manicure can become a highlight and make you stand out from the crowd.Whether attending an important meeting or a social party, a pair of exquisite fingers will add a lot of points for you. In the workplace, elegant manicure not only makes you look professional and reliable, but also shows your meticulousness and taste.In addition, manicure can also reflect a person's emotional state and attitude towards life, such as choosing deep colors to express maturity and stability, and choosing bright colors to express vitality and optimism.In short, manicure is not just an external decoration, but also a way of self-expression, which can show unique temperament and elegance through different designs and colors."
https://www.walmart.com/ip/Packed-Party-Women-s-Touchdown-and-Score-Silver-Hoops-1-Pair/15593963600,"Packed Party Women's Touchdown and Score Silver Hoops, 1 Pair",7.92,,,,https://i5.walmartimages.com/seo/Packed-Party-Women-s-Touchdown-and-Score-Silver-Hoops-1-Pair_d733d6b4-4d57-4d3b-9203-a4deef893095.f3b78db36394b922a1a464b6d3e9d3ca.jpeg,,,"{'Gender': 'Female', 'Brand': 'Packed Party', 'Fine or Fashion': 'Fashion', 'Metal Type': 'Silvertone', 'Color': 'Blue', 'Assembled Product Dimensions (L x W x H)': '0.75 x 3.75 x 4.75 in'}",,"Game day glam just got an upgrade! The Packed Party Touchdown and Score Silver Hoops are the perfect mix of sporty and chic, featuring silver-plated hoops with playful football and game-day charms. Lightweight and stylish, they’re ready to bring the fun!"
https://www.walmart.com/ip/Men-s-Black-Philadelphia-Eagles-Team-Lockup-T-Shirt/5333104266,Men's  Black Philadelphia Eagles Team Lockup T-Shirt,27.99,,4.5,37,https://i5.walmartimages.com/seo/Men-s-Black-Philadelphia-Eagles-Team-Lockup-T-Shirt_22aec7fc-e8d1-4f81-9113-219fb66d00f0.c1ec35839992cee13be1a2df986d5097.jpeg,,,"{'Features': 'Breathable, Comfort Fit, Stretch Fabric', 'Sleeve Length Style': 'Short Sleeve', 'Fabric Content': '100% Cotton', 'Pattern': 'Solid Print', 'Gender': 'Male', 'Clothing Neck Style': 'Crew Neck', 'Sports League': 'NFL', 'Sports Team': 'Philadelphia Eagles', 'Brand': 'NFL', 'Color': 'Black', 'Manufacturer': 'Fanatics Branded'}",,"Show your team pride all season long with this T-Shirt. This classic crew neck tee is crafted from soft, breathable fabric for all-day comfort. The bold graphics are the perfect way to demonstrate your fandom, whether you're at the game or just running errands around town."
https://www.walmart.com/ip/Packed-Party-Women-s-Touchdown-Score-Dangling-Earrings-1-Pair/15615605539,"Packed Party Women's Touchdown Score Dangling Earrings, 1 Pair",7.92,,,,https://i5.walmartimages.com/seo/Packed-Party-Women-s-Touchdown-Score-Dangling-Earrings-1-Pair_f5e19399-bb21-4f3c-a342-b6b1ba468deb.e3ff5821da70cb32322b153072cb1350.jpeg,,,"{'Gender': 'Female', 'Brand': 'Packed Party', 'Fine or Fashion': 'Fashion', 'Metal Type': 'Silvertone', 'Color': 'Multi', 'Assembled Product Dimensions (L x W x H)': '0.75 x 3.75 x 4.75 in'}",,"Get ready to score and shine with the Packed Party Touchdown Score Dangling Earrings! Adorned with silver finishes and gemstones, these earrings are the perfect way to show off your team pride. Whether you're cheering from the stands or watching from home, these earrings bring the fun, sparkle, and game day energy that you need!"
https://www.walmart.com/ip/Clemson-Tigers-Top-of-the-World-Offroad-Trucker-Adjustable-Hat-Orange/169516873,Clemson Tigers Top of the World Offroad Trucker Adjustable Hat - Orange,13.99,,4.9,14,https://i5.walmartimages.com/seo/Clemson-Tigers-Top-of-the-World-Offroad-Trucker-Adjustable-Hat-Orange_c7509d5a-1ff3-48b2-80d7-2a58f0c47fa8.fc60d839cbf8bc4c5eabe8d1ee52c67e.jpeg,,,"{'Brand': 'Top of the World', 'Gender': 'Male', 'Color': 'Orange'}",,Celebrate your Clemson Tigers fandom with this Offroad trucker adjustable hat from Top of the World. It's got an embroidered Clemson Tigers graphic on the crown. This Clemson Tigers hat also has mesh back panels to keep you ventilated at the next game. There's no way anyone will miss your die-hard team pride when you wear this cap!
