url,currency,price,beadroom,bathroom,furnished,area,location,amenities,price_type,breadcrumb,description,images
https://www.dubizzle.com.bh/en/ad/%D8%A8%D9%86%D8%A7%D9%8A%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-ID105414487.html,BHD,"180,000",,,,"3,600","Riffa, Southern Governorate",[],Negotiable,Home>Properties>Properties for Sale>Buildings for Sale>Buildings for Sale in Southern Governorate>Buildings for Sale in Riffa,يوجد أربع شقق كل شق فيه ثلاثة غرف و حمامين و صالة  و في كل شقة فيه بلكونا تصميم فلة مفتوحة على شارعين,"['https://images.dubizzle.com.bh/thumbnails/5118571-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5118572-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5118573-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5118574-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5118575-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5118576-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/good-running-ladies-salon-for-sale-in-exhibition-road-gudaibiya-ID105461688.html,BHD,"4,000",,,Yes,230,"Gudaibiya, Capital Governorate","['Air Conditioning', 'Covered Parking', 'Security']",Negotiable,Home>Properties>Properties for Sale>Commercial for Sale>Commercial for Sale in Capital Governorate>Commercial for Sale in Gudaibiya,"For Sale: Well-Equipped Running Salon in Gudaibiya  Priced at 4500 BD (slightly negotiable), this established salon in Gudaibiya comes with all the necessary equipment to continue operations seamlessly. The inventory includes:  Styling chairs Hair wash basins Pedicure and manicure stations Facial steamer and hair steamer Massage beds Steam bath cabinet with steam machine Comprehensive collection of salon items and miscellaneous equipment This could be a fantastic chance to step into a ready-to-go business! Contact:","['https://images.dubizzle.com.bh/thumbnails/5323883-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5323884-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5323885-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5323886-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5323887-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5323888-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B4%D9%82%D9%82-%D8%AA%D9%85%D9%84%D9%8A%D9%83-%D9%81%D9%8A-%D8%A7%D9%84%D8%AD%D8%AF-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-ID105306036.html,BHD,"65,000",4,4,No,186,"Al Hidd, Muharraq Governorate",['Covered Parking'],,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Muharraq Governorate>Apartments for Sale in Al Hidd,للبيع شقق تمليك في الحد الجديده المساحه ١٨٦ متر مكونه مجلس منفصل ٤ غرف ٤ حمامات صاله ومطبخ ٣ بلكون مصعد ٢ موقف سياره سعر البيع ٦٥ الف للتوصل مركز عين البحرين العقاري (وكيل مبيعات مرخص من قبل مؤسسة التنظيم العقاري) رخصه رقم (SA201803/0013) تلفون,"['https://images.dubizzle.com.bh/thumbnails/4645958-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4645959-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4645960-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4645961-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4645962-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4645963-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4645964-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4645965-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4645966-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4645967-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4645968-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/4645969-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B5%D8%A7%D9%84%D9%88%D9%86-%D9%86%D8%B3%D8%A7%D8%A6%D9%8A-ID105446121.html,BHD,"5,000",,,Yes,80,"Galali, Muharraq Governorate",[],,Home>Properties>Properties for Sale>Commercial for Sale>Commercial for Sale in Muharraq Governorate>Commercial for Sale in Galali,للبيع صالون نسائي مجهز بالكامل مع الموظفين والسجل سعر البيع ٥٠٠٠ دينار للتواصل مركز عين البحرين العقاري (وكيل مبيعات مرخص من قبل مؤسسة التنظيم العقاري) رخصه رقم (SA201803/0013) تلفون,"['https://images.dubizzle.com.bh/thumbnails/5260637-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5260638-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5260639-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5260640-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5260641-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/seef-3-bedrooms-flat-expats-can-buy-call33276605-ID105364360.html,BHD,"78,000",,,Yes,170,"Seef, Capital Governorate","['Air Conditioning', 'Covered Parking', 'Security']",Negotiable,Home>Properties>Properties for Sale>Commercial for Sale>Commercial for Sale in Capital Governorate>Commercial for Sale in Seef,call,['https://images.dubizzle.com.bh/thumbnails/5195346-800x600.jpeg']
https://www.dubizzle.com.bh/en/ad/abraj-gold-tower2-bedrooms-flat-and-expats-can-buy-call33276605-ID105362399.html,BHD,"63,000",2,3,No,133,"Sanabis, Capital Governorate","['Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Pets Allowed', 'Security']",Negotiable,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Capital Governorate>Apartments for Sale in Sanabis,2 bedrooms flat and expats can buy call,['https://images.dubizzle.com.bh/thumbnails/5195339-800x600.jpeg']
https://www.dubizzle.com.bh/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%83%D8%B1%D8%B2%D9%83%D8%A7%D9%86-ID105461221.html,BHD,"74,000",2,3,No,161,"Madinat Hamad, Northern Governorate",[],Negotiable,Home>Properties>Properties for Sale>Villas for Sale>Villas for Sale in Northern Governorate>Villas for Sale in Madinat Hamad,‎         فرصه مميزه         ‎  للبيع فيلا جديدة   ‎ الموقع كرزكان   ‎1 الدور الأرضي          ‎          يتكون من   ‎ صالة كبيرة  ‎ غرفة نوم كبيرة ماستر  ‎ مطبخ كبير  ‎ قاعة طعام واسعة  ‎ دورة مياه   ‎2 الدور الأول   ‎        يتكون من   ‎ غرفة نوم كبيره ماستر  ‎ سطح كبير واسع   ‎ تصنيف الأرض السكن ‎      المتصل (ب)RHB  ‎ مساحة الأرض 120 متر ‎      مربع   ‎ مساحة البناء 161 مترمربع   ‎ الأرض على شارع أمامي وممر خلفي     ‎ يسمح ببناء مبنى من3 ادوار ‎       من غير إرتداد ولايشترط ‎        مواقف للسيارات   ‎           سعر البيع 74 ألف,"['https://images.dubizzle.com.bh/thumbnails/5321855-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5321856-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5321857-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/5321858-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/duplex-1-bedroom-flat-for-sale-at-69k-with-balcony-and-on-higher-floor-ID104824598.html,BHD,"69,000",1,2,Yes,110,"Juffair, Capital Governorate","['Balcony', 'Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Pets Allowed']",,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Capital Governorate>Apartments for Sale in Juffair,"Spacious 1 bedroom flat for sale for 69,000 BHD  Full sea view   Easy to rent or sell  Expats can buy   Call on 3,3,2,7,6,6,0,5","['https://images.dubizzle.com.bh/thumbnails/3811111-800x600.jpeg', 'https://images.dubizzle.com.bh/thumbnails/3811112-800x600.jpeg']"
https://www.dubizzle.com.bh/en/ad/buy-on-installments-without-interest-20-percent-advance-rest-in-3-year-ID104824620.html,BHD,"48,000",1,2,Yes,67,"Juffair, Capital Governorate","['Balcony', 'Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Security']",,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Capital Governorate>Apartments for Sale in Juffair,"Size 65 sqm with 2 washrooms Call on 3,3,2,7,6,6,0,5  Rest of the payment in 3 years",['https://images.dubizzle.com.bh/thumbnails/4375306-800x600.jpeg']
https://www.dubizzle.com.bh/en/ad/expats-can-buy-2-bedrooms-flat-on-highest-floor-call33276605-ID104577902.html,BHD,"95,000",2,3,Yes,160,"Sanabis, Capital Governorate","['Balcony', 'Built in Kitchen Appliances', 'Built in Wardrobes', 'Central A/C & heating', 'Covered Parking', 'Security']",,Home>Properties>Properties for Sale>Apartments for Sale>Apartments for Sale in Capital Governorate>Apartments for Sale in Sanabis,"Expats can buy   Call on 3,3,2,7,6,6,0,5",['https://images.dubizzle.com.bh/thumbnails/5321596-800x600.jpeg']
