pdp_url,prices,product_id,product_description,color,product_type
https://www.pullandbear.com/ae/short-sleeve-sweatshirt-with-patch-l07150502,149.00,714314064,"Short sleeve sweatshirt with a patch and embroidered slogan on the front and a graphic on the back, with a crew neck and made of a cotton blend.",['Anthracite grey'],Clothing
https://www.pullandbear.com/ae/playstation-x-stwd-polo-shirt-l07152934,199.00,699865426,Short sleeve PlayStation licensed polo shirt with a contrast graphic and a panelled design.,['Black'],Clothing
https://www.pullandbear.com/ae/playstation-x-stwd-football-tshirt-l07152534,199.00,699865433,"Football-style PlayStation licensed T-shirt, short sleeve, with a contrast graphic and a panelled design.",['Grey'],Clothing
https://www.pullandbear.com/ae/long-sleeve-tshirt-with-seams-l07151513,129.00,714314075,Oversize long sleeve T-shirt with a round neck and made of cotton.,"['Grey', 'Off white', 'Black']",Clothing
https://www.pullandbear.com/ae/faded-wideleg-jeans-l07687505,269.00,714314081,"Wide-leg jeans with a faded finish, five-pocket design, belt loops, and zipper fly and top button fastening. Made of 100% cotton fabric.",['Neon blue'],Clothing
https://www.pullandbear.com/ae/car-graphic-tshirt-l07151565,129.00,714314084,"Short sleeve T-shirt with a car graphic and contrast slogan, a round neck, and made of cotton.",['Off white'],Clothing
https://www.pullandbear.com/ae/striped-tshirt-l07151566,129.00,714314085,Short sleeve T-shirt with a horizontal striped design and round neck. Made of cotton.,['Maroon'],Clothing
https://www.pullandbear.com/ae/stwd-embroidered-logo-hoodie-l07560518,269.00,714314091,"Long sleeve hoodie with an embroidered STWD logo on the front and back, and a pouch pocket.","['Black', 'Off white', 'Grey marl', 'Burgundy']",Clothing
https://www.pullandbear.com/ae/waffleknit-sweater-l07550508,189.00,714314102,"Knit sweater in waffle-knit fabric, with a round neck and ribbed trim.","['Grey marl', 'Chocolate', 'Off white', 'Ochre', 'Black']",Clothing
https://www.pullandbear.com/ae/denim-shirt-l07474505,219.00,695060880,"Long sleeve denim shirt with a Kent collar, button fastening and a front pocket. Made from 100% cotton fabric.","['Neon blue', 'Medium blue']",Clothing
https://www.pullandbear.com/ae/stwd-striped-patch-shirt-l07472559,219.00,711647642,"Short sleeve boxy-fit shirt with a striped design, button fastening, and an STWD Studio patch on the front. Made of a blend of cotton (48%) and linen (52%).",['Blue'],Clothing
https://www.pullandbear.com/ae/stwd-polo-shirt-l07550531,189.00,711647643,"STWD short sleeve polo shirt with embroidered detailing, a front stripe and a contrast ribbed collar.",['Off white'],Clothing
https://www.pullandbear.com/ae/stwd-checked-tshirt-l07151553,149.00,711647644,"Long sleeve checked T-shirt in orange with a washed effect, STWD embroidery, and a ribbed round neck.",['Copper'],Clothing
https://www.pullandbear.com/ae/stretch-belt-l07950504,75.00,711647646,Black stretch belt with a metallic-finish square buckle.,['Black'],Clothing
https://www.pullandbear.com/ae/stwd-panelled-shirt-l07472544,219.00,711647657,"Short sleeve shirt with a vertical panel design, STWD embroidery on the front and button fastening.",['Red'],Clothing
https://www.pullandbear.com/ae/mickey-mouse-polo-shirt-l07152551,169.00,714314177,"Mickey Mouse license polo shirt, short sleeve, with a V-neckline and Kent collar, and a Mickey Mouse graphic on the front and back. Made from 100% cotton.",['Off white'],Clothing
https://www.pullandbear.com/ae/white-tshirt-with-gloria-silva-photographic-print-l07151542,119.00,714314185,White short sleeve T-shirt with a contrasting Gloria Silva photographic print and a round neck. Made from a cotton blend.,['White'],Clothing
https://www.pullandbear.com/ae/faux-leather-jacket-l07700513,299.00,714314404,"Faux leather jacket with long sleeves, a Kent collar, zipper fastening, and pockets.",['Dark brown'],Clothing
https://www.pullandbear.com/ae/pack-of-3-rings-l07901501,99.00,697465507,Pack of three metallic silver-colored rings.,['Others'],Clothing
