pdp_url,product_name,regular_price,art_number,material_composition,clothing_length,clothing_fit,country_of_origin,neck_style,style,care_instruction,color,sleeve_length_style,images
https://www2.hm.com/en_in/productpage.1273062002.html,Overlock-detail crinkled top,799.0,1273062002,"Polyester 98%, Elastane 2%",Short,Slim fit,Cambodia,Boat neck,,"Line dry, Only non-chlorine bleach when needed, Machine wash at 40°, Can be dry cleaned, Wash with similar colours, No iron",Black,,"['https://image.hm.com/assets/hm/4c/b2/4cb22d32f32ccf50911db7d54240715f7bdf5ae8.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/0a/a0/0aa0d2cef53f0fcf9ffa5108fb9c5ce96f0b56d9.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/c5/00/c50031d905a24a3e7c7fc3502049e1b19fea33c6.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/80/e5/80e5b7e5313353075f69437be24a6fc8b823b4be.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1230671005.html,Off-the-shoulder chiffon top,1499.0,1230671005,Polyester 100%,Short,Slim fit,China,,Off-the-shoulder,,Black/Silver-coloured,Long sleeve,"['https://image.hm.com/assets/hm/f3/09/f309354bb17810752892c8d6c4133056c0eddaaf.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/85/ac/85ac94d3444490c03526e86c7aaad745c33ef1f3.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/32/98/3298e2b1c6216fa5ccea0f15be085a2f0d3da1f8.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/fa/a7/faa76747b8644ea45babccfbcedb48e1093c4f9b.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/94/65/9465e66cf9989bf88419f92e00c350f6b35a2c0d.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/f7/8e/f78e39cd2b694e45d928b8e4300274e42872f540.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1281786014.html,Lace-trimmed strappy top,1499.0,1281786014,"Cotton 48%, Modal 47%, Elastane 5%",Regular length,Slim fit,China,V-neck,"Strappy top, Vest top","Use a laundry bag, Line dry, Only non-chlorine bleach when needed, Machine wash at 30°, Can be dry cleaned, Low iron",Powder pink,Sleeveless,"['https://image.hm.com/assets/hm/be/4a/be4aa0c19f35a575c095a2e8466f2768204f2cc9.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/24/ad/24ad9c852ef3d5b3f72cc60b7d19c0c915df646e.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/3e/1b/3e1bceeece2f57eeff8d7169f1423d729805de85.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/af/86/af863850df49c98008f0e8d3855588bba78a6ff2.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/3d/80/3d8021806f00aaf20c88e346b52907ea5bbc57a5.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1259458004.html,Picot-trimmed vest top,799.0,1259458004,"Cotton 95%, Elastane 5%",Short,Slim fit,China,Square neckline,Vest top,"Use a laundry bag, Line dry, Only non-chlorine bleach when needed, Machine wash at 40°, Can be dry cleaned, Low iron",Dusty pink/Green/White,,"['https://image.hm.com/assets/hm/2b/a0/2ba06c1716f04c91c409e3957be301f3b4378ffe.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/fc/2d/fc2d5682555612f729aab43520805b1e29405f75.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/60/a6/60a640ec58e1a29423cd6ba0de5b34b941ebd7d7.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/48/60/4860b5094caa652162dbbb2752f6a3de487aa9b7.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/17/5e/175eb3bd946aef1d2267c69234221afe400ce1d9.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/d6/f1/d6f1ed6f608c2c3e7f0c354ea6eda62a0b09a04a.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1226266002.html,Knitted vest top,1499.0,1226266002,"Viscose 65%, Polyamide 35%",Regular length,Slim fit,China,"Deep neckline, Round neck",Vest top,"Line dry, Only non-chlorine bleach when needed, Dry flat, Machine wash at 30°, Can be dry cleaned, Low iron",White,Sleeveless,"['https://image.hm.com/assets/hm/a1/42/a142b97af130ed324116160680eef1cd107fa257.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/90/52/905203af55518c8d088014dbdf8d94d8341851c0.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/a4/9c/a49cdd6feb4f01a6ff14fe451a83faa036090892.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/17/0b/170b450c4d0e94760c4349607c260a70520cebb5.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/ae/1e/ae1e2593eebe05ab5f78886bfe2bae09c8b8f2d1.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/a1/12/a112713b970625f8625251d84f005fde79169481.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1278512001.html,Fine-knit sweater vest,999.0,1278512001,"Viscose 80%, Polyamide 20%",Regular length,Slim fit,Myanmar,Round neck,Vest top,"Line dry, Only non-chlorine bleach when needed, Machine wash at 30°, Can be dry cleaned, Low iron",White/Black,Sleeveless,"['https://image.hm.com/assets/hm/45/68/4568a51415cb49d5fd10805333e9f25596e03b2d.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/11/bf/11bfa86d8326ccebf0b63994cd2d4702d44a0ce5.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/af/e2/afe29792a465637f39a7a522982bd4fc2d3bd060.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/47/18/47182f6b0d0b2ffabfe85f70978c4574882f03b4.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/69/04/6904d344a476361b0f7b5ac3efe43573781a2818.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1269538001.html,Tie-detail rib-knit top,1499.0,1269538001,"Polyester 52%, Acrylic 39%, Wool 6%, Elastane 3%",Short,Regular fit,Myanmar,V-neck,Tie-front,"Use a laundry bag, Only non-chlorine bleach when needed, Use mild detergent, Machine wash at 30°, Can be dry cleaned, Line dry, Dry flat, Low iron",Black,,"['https://image.hm.com/assets/hm/d6/5f/d65fe74030f7274075d4cac29f0fc265bdcefb47.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/a6/e5/a6e51aeecaebeffbc1fe749d6733f7b8e18947b2.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/74/a6/74a68891c23e2883408a172effa751000fc59dea.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/5c/78/5c78f66a20ae1bf862645acfea068aabca753c6f.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/0b/68/0b68d7883ae7bcf84e6571a3123c20b6f8125abc.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1297637001.html,Draped top,1299.0,1297637001,Cotton 100%,Regular length,Regular fit,Bangladesh,Crew-neck,Draped,,White,Sleeveless,"['https://image.hm.com/assets/hm/aa/fe/aafe4efe3e973dbb1f8a580af59201f01fbf77e4.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/df/76/df76a7cabf00f9abdf9459ad394141ba68cfca20.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/c5/c5/c5c59817856b8363610724acc22bafe80aeaa668.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/6d/7a/6d7a677725fc6a2232e24061c581a30fcb3d5664.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/15/e0/15e04c5e654443392bfcbb40a9f8555b4e69387c.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1285389002.html,Tie-strap smocked top,1599.0,1285389002,"Viscose 89%, Elastane 11%",Short,Slim fit,Indonesia,Square neckline,"Smocked, Strappy top","Line dry, Only non-chlorine bleach when needed, Medium iron, Machine wash at 30°, Can be dry cleaned",Black/White/Green,Sleeveless,"['https://image.hm.com/assets/hm/d5/94/d5945d4cbc50516bcc1608fb9e69b14e24a4e4b6.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/7b/fe/7bfe3e93ffebd47fb4863be7e6eb4306272d922f.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/a7/28/a728788720394efb7ee934ec000dae4c8f70ceeb.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/37/18/371826ccf174586435d3baedff74fe9682aca8c6.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/66/5b/665b25abf38906da7832a5640b568cdb3d1f286d.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/e4/3d/e43dee52bffb7b0754ed9eae80be650c48e71e68.jpg?imwidth=2160']"
https://www2.hm.com/en_in/productpage.1277210002.html,Fine-knit polo shirt,1799.0,1277210002,"Viscose 70%, Polyamide 30%",Short,Regular fit,Myanmar,,Polo shirt,"Line dry, Only non-chlorine bleach when needed, Machine wash at 30°, Can be dry cleaned, Low iron",Cream/Black,Short sleeve,"['https://image.hm.com/assets/hm/7b/be/7bbefb619456c1fe0957a93fb043cf9474af49ea.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/15/51/155193d4b361e096b297b1b9a1f130bfba49ad54.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/65/da/65da49557ebf638e5ef37e39e94edaa03d75fa4f.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/cc/ed/cced6599a0a100ab703ad96364a9de61d8ca3134.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/3a/88/3a881854229eaa9dc4fa346e89cb324465c3f965.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/a6/36/a63664382980d4fa592e2044f1e81710f8259eed.jpg?imwidth=2160', 'https://image.hm.com/assets/hm/91/13/9113bf5dc398c800423bd5c6dbd6c2a4cd7da8ae.jpg?imwidth=2160']"
