pdp_url,product_name,instock,discount,sale_price,mrp
https://sunlife.qa/shop/mj-hair-usa-color-light-brown-ash-51,Mj Hair Usa Color Light Brown Ash 5.1,True,,45.0,45.0
https://sunlife.qa/shop/mj-hair-usa-color-medium-blonde-70,Mj Hair Usa Color Medium Blonde 7.0,True,,45.0,45.0
https://sunlife.qa/shop/mj-hair-usa-color-very-light-blonde-ash-91,Mj Hair Usa Color Very Light Blonde Ash  9.1,True,,45.0,45.0
https://sunlife.qa/shop/mj-hair-usa-colorlab-brown-spray-240-ml,Mj Hair Usa Colorlab Brown Spray 240 Ml,True,,80.0,80.0
https://sunlife.qa/shop/mj-hair-usa-colorlab-green-spray-240-ml,Mj Hair Usa Colorlab Green Spray 240 Ml,True,,80.0,80.0
https://sunlife.qa/shop/mj-hair-usa-colorlab-orange-spray-240-ml,Mj Hair Usa Colorlab Orange Spray 240 Ml,True,,80.0,80.0
https://sunlife.qa/shop/mj-hair-usa-colorlab-red-spray-240-ml,Mj Hair Usa Colorlab Red Spray 240 Ml,True,,80.0,80.0
https://sunlife.qa/shop/mj-hair-usa-colorlab-rosegold-spray-240-ml,Mj Hair Usa Colorlab Rosegold Spray 240 Ml,True,,80.0,80.0
https://sunlife.qa/shop/mj-hair-colorlab-spray-violet-240ml,Mj Hair Usa Colorlab Spray Violet 240ml,True,,80.0,80.0
https://sunlife.qa/shop/mj-hair-usa-colorlab-yellow-spray-240-ml,Mj Hair Usa Colorlab Yellow Spray 240 Ml,True,,80.0,80.0
https://sunlife.qa/shop/nanogen-hair-fibers-black-15g,Nanogen Hair Fibers Black 15g,True,,171.0,171.0
https://sunlife.qa/shop/phyto-black-no-1,Phyto Black No 1,True,,99.0,99.0
https://sunlife.qa/shop/phyto-cedrat-shampoo-250-ml,Phyto Cedrat Shampoo 250 Ml,True,,94.0,94.0
https://sunlife.qa/shop/phyto-color-gold-blonde-no-73,Phyto Color Gold Blonde No 7.3,True,,99.0,99.0
https://sunlife.qa/shop/phyto-color-light-chestnut-brown-57,Phyto Color Light Chestnut Brown 5.7,True,,99.0,99.0
https://sunlife.qa/shop/phyto-hair-color-blond-no-07,Phyto Hair Color Blond No 07,True,,99.0,99.0
https://sunlife.qa/shop/phyto-hair-color-light-blond-no-08,Phyto Hair Color Light Blond No 08,True,,99.0,99.0
https://sunlife.qa/shop/phyto-hair-color-very-light-blond-no-09,Phyto Hair Color Very Light Blond No 09,True,,99.0,99.0
https://sunlife.qa/shop/phyto-intense-chestnut-brown-477,Phyto Intense Chestnut Brown 4.77,True,,99.0,99.0
