pdp_url,product_name,instock,discount,sale_price,mrp
https://kuludonline.com/collections/medicines/products/brufen-syrup-100-mg-100-ml,Brufen Syrup 100 Mg 100 ML,True,,12.0,
https://kuludonline.com/collections/medicines/products/brufen-tablet-600-mg-30-pc,Brufen Tablet 600 Mg 30 PC,True,,20.0,
https://kuludonline.com/collections/medicines/products/claritine-tablet-10-mg-10-pc,Claritine Antihistamine 10 Mg - 10 Tabs,True,,19.0,
https://kuludonline.com/collections/medicines/products/flagyl-400mg-tab-14s-tablet-400-mg-14-pc,Flagyl 400Mg Tab 14'S Tablet 400 Mg 14 PC,True,,18.0,
https://kuludonline.com/collections/medicines/products/panadol-migraine-tablet-24-pc,Panadol Migraine Tablet - 24 PC,True,,26.0,
https://kuludonline.com/collections/medicines/products/diflucan-hard-capsule-150-mg-1-pc,Diflucan  Antifungal Reduce Fungal Infections -150 Mg  1 Capsule,True,,35.0,
https://kuludonline.com/collections/medicines/products/voltfast-sachets-50-mg-9-pc,Voltfast Sachets 50 Mg 9 PC,True,,19.0,
https://kuludonline.com/collections/medicines/products/imodium-instants-dispersible-tablet-2-mg-6-tab,Imodium Instants Dispersible Tablet 2 Mg 6 Tab,False,,13.0,
https://kuludonline.com/collections/medicines/products/panadol-actifast-tablet-20-pc,Panadol Actifast Tablet -20 PC,True,,10.0,
https://kuludonline.com/collections/vitamins-supplements-offers/products/amerix-melatonin-gummy-5-mg-60-pc,Amerix Melatonin Gummy 5 Mg 60 PC,True,25%,49.88,66.50
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-melatonin-tablet-5-mg-60-pc,Webber Naturals Melatonin Tablet 5 Mg 60 PC,True,20%,27.2,34.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-vitamin-d3-hard-capsule-50000-i-u-30-pc,Health Aid Vitamin D3 Health Aid rd Capsule 50000 I.U 30 PC,True,25%,106.88,142.50
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-melatonin-magnesium-tablet-10-150-mg-60-tab,Webber Naturals Melatonin Magnesium Tablet 10/150 Mg 60 Tab,True,20%,79.2,99.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-magnesium-citrate-capsule-150-mg-60-pc,Webber Naturals Magnesium Citrate Capsule 150 Mg 60 PC,True,20%,43.2,54.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-l-glutathione-tablet-250mg-60-pc,Health Aid L Glutathione Tablet 250Mg 60 PC,True,25%,172.88,230.50
https://kuludonline.com/collections/vitamins-supplements-offers/products/doppelherz-vitamin-c-zinc-effervescent-tablet-15-pc,Doppelherz Vitamin C + Zinc Effervescent Tablet 15 PC,False,20%,32.0,40.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-orange-vitamin-c-effervescent-tablet-1000mg-20-pc,Health Aid Orange Vitamin C Effervescent Tablet 1000Mg 20 PC,True,25%,22.88,30.50
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-metaslim-apple-cider-vinger-with-green-tea-capsule-90-cap,Webber Naturals Metaslim Apple Cider Vinger With Green Tea Capsule 90 CAP,True,20%,89.6,112.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/amerix-multivitamin-gummy-60-pc,Amerix Multivitamin Gummy 60 PC,True,25%,54.75,73.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/amerix-biotin-gummy-5000-mcg-60-pc,Amerix Biotin Gummy 5000 Mcg 60 PC,True,25%,49.88,66.50
https://kuludonline.com/collections/vitamins-supplements-offers/products/webber-naturals-d3-soft-gelattin-capsule-1000-i-u-100-pc,Webber Naturals D3 Tablets 1000 I.U 100 PC,True,20%,38.4,48.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-omega3-hard-capsule-750-mg-30-pc,Health Aid Omega3 Health Aid rd Capsule 750 Mg 30 PC,True,25%,47.25,63.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/alfa-collagen-hydrolysate-with-vit-c-cap-120s,Alfa Collagen Hydrolysate With Vit C Cap  120'S,True,25%,70.5,94.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/ha-psyllium-husk-fiber-powder-300-gm,Health Aid Psyllium Husk Fiber Powder 300 GM,True,25%,46.5,62.00
https://kuludonline.com/collections/vitamins-supplements-offers/products/health-aid-vit-b12-tablet-1000-mg-50-pc,Health Aid Vit B12 Tablet 1000 Mg 50 PC,True,25%,35.25,47.00
