unique_id,product_name,regular_price,selling_price,percentage_discount,breadcrumb,pdp_url,uom
762849,Activia erdei gyümölcsös joghurt gabonákkal 4x120 g,,647,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Activia erdei gyümölcsös joghurt gabonákkal 4x120 g,https://auchan.hu/shop/activia-erdei-gyümölcsös-joghurt-gabonákkal-4x120-g.p-892692,g
762846,Activia őszibarackos joghurtgabonákkal 4x120 g,,647,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Activia őszibarackos joghurtgabonákkal 4x120 g,https://auchan.hu/shop/activia-őszibarackos-joghurtgabonákkal-4x120-g.p-892682,g
299414,Riska epres krémjoghurt 850 g,,693,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Riska epres krémjoghurt 850 g,https://auchan.hu/shop/riska-epres-krémjoghurt-850-g.p-433175,g
44800,Zott Jogobella élőflórás joghurt 900 g,,772,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Zott Jogobella élőflórás joghurt 900 g,https://auchan.hu/shop/zott-jogobella-élőflórás-joghurt-900-g.p-929742,g
44797,"Zott Jogobella élőflórás, epres joghurt 900 g",,772,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Zott Jogobella élőflórás, epres joghurt 900 g","https://auchan.hu/shop/zott-jogobella-élőflórás,-epres-joghurt-900-g.p-929741",g
818969,Exquisa Mild Skyr Vanilla 400 g,,786,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Exquisa Mild Skyr Vanilla 400 g,https://auchan.hu/shop/exquisa-mild-skyr-vanilla-400-g.p-933941,g
788996,"Milli Power Bowl zsírszegény eredeti görög krémjoghurt eperrel, ribizlivel 2 x 175 g (350 g)",,848,,"Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Milli Power Bowl zsírszegény eredeti görög krémjoghurt eperrel, ribizlivel 2 x 175 g (350 g)","https://auchan.hu/shop/milli-power-bowl-zsírszegény-eredeti-görög-krémjoghurt-eperrel,-ribizlivel-2-x-175-g-(350-g).p-868408",g
818774,Milli Power Bowl zsírszegény eredeti görög krémjoghurt őszibarackkal 2 x 175 g (350 g),,848,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Milli Power Bowl zsírszegény eredeti görög krémjoghurt őszibarackkal 2 x 175 g (350 g),https://auchan.hu/shop/milli-power-bowl-zsírszegény-eredeti-görög-krémjoghurt-őszibarackkal-2-x-175-g-(350-g).p-868407,g
788993,Milli Power Bowl zsírszegény eredeti görög krémjoghurt teljes kiőrlésű keksszel 2 x 175 g (350 g),,848,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Milli Power Bowl zsírszegény eredeti görög krémjoghurt teljes kiőrlésű keksszel 2 x 175 g (350 g),https://auchan.hu/shop/milli-power-bowl-zsírszegény-eredeti-görög-krémjoghurt-teljes-kiőrlésű-keksszel-2-x-175-g-(350-g).p-868406,g
554715,Danone Oikos Görög élőflórás áfonyás sajttorta ízű krémjoghurt 4 x 125 g,,849,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Danone Oikos Görög élőflórás áfonyás sajttorta ízű krémjoghurt 4 x 125 g,https://auchan.hu/shop/danone-oikos-görög-élőflórás-áfonyás-sajttorta-ízű-krémjoghurt-4-x-125-g.p-635904,g
783281,Landliebe joghurt barack készítménnyel 500 g,,868,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Landliebe joghurt barack készítménnyel 500 g,https://auchan.hu/shop/landliebe-joghurt-barack-készítménnyel-500-g.p-929729,g
36397,Landliebe joghurt cseresznye készítménnyel 500 g,,869,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Landliebe joghurt cseresznye készítménnyel 500 g,https://auchan.hu/shop/landliebe-joghurt-cseresznye-készítménnyel-500-g.p-840956,g
783044,Landliebe joghurt mák-marcipán készítménnyel 500 g,,869,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Landliebe joghurt mák-marcipán készítménnyel 500 g,https://auchan.hu/shop/landliebe-joghurt-mák-marcipán-készítménnyel-500-g.p-875096,g
36394,Landliebe joghurt zamatos áfonyával 500 g,,869,,Főoldal > Online áruház > friss-elelmiszer > tejtermek-tojas-sajt > joghurtok > gyumolcs-joghurt > Landliebe joghurt zamatos áfonyával 500 g,https://auchan.hu/shop/landliebe-joghurt-zamatos-áfonyával-500-g.p-840955,g
